COMPOUND_ID,pathogen_model,priority_tier,source_library,product_linkage_type,clean_smiles,similarity_to_training,ensemble_prediction,decision_scenario,reliability_status,MW,LogP,TPSA,SA_score
CMPD_484,SA,2,SA_CA,amide,CC(C)[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCNCCCNCCCc1ccccc1)CCCc1ccccc1,0.4814814814814814,0.7315834879875183,A,HIGH,639.9950000000003,5.260600000000006,85.5,3.257743748569532
CMPD_674,SA,2,TRIPLE,amide,Cc1nc(N)sc1C(=O)NC1=NCN=C(N(C)C)N1,0.4615384615384615,0.6878059804439545,A,HIGH,281.345,-0.4021799999999995,108.0,3.4158098902700784
CMPD_492,SA,2,SA_CA,amide,O=C(CS)NCCCC(=O)N(CCCNCCCCCCNCCCNCCc1c[nH]c2ccccc12)CCCc1ccccc1,0.5396825396825397,0.6826952815055847,A,HIGH,650.9780000000002,5.1074000000000055,101.29,2.91335360730754
CMPD_464,SA,3,SA_CA,amide,CC(C)C[C@H](NC(=O)CS)C(=O)N(/C=C/C=C1\CCCC(/C=C/C2=[N+]c3ccccc3C2)=C1N1CCNCC1)c1ccccc1,0.2608695652173913,0.9677081227302552,A,HIGH,623.8670000000003,5.484400000000005,78.78,4.469879724900892
CMPD_094,SA,3,SA,urea,CC(=O)NC[CH]CN(C(=O)N(C(=S)NC(=O)c1ccc(CS)cc1)c1c(Cl)cccc1Cl)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.2982456140350877,0.9548420786857604,A,HIGH,725.6750000000001,7.4208600000000065,125.83,3.714299472628516
CMPD_453,SA,3,SA_CA,amide,CC(C)[C@H](NC(=O)CS)C(=O)N(/C=C/C=C1\CCCC(/C=C/C2=[N+]c3ccccc3C2)=C1N1CCNCC1)c1ccccc1,0.2568807339449541,0.9418859004974364,A,HIGH,609.8400000000003,5.094300000000005,78.78,4.459796102742139
CMPD_133,SA,3,EC,amide,C#Cc1ccc2c(c1)CC[C@@H]2N(C(=O)Cc1ccc(O)c(O)c1)[C@H](C(=O)NO)[C@@H](C)O,0.2727272727272727,0.8027068972587585,A,HIGH,424.4530000000002,1.3924999999999994,130.33,3.9320258635406633
CMPD_040,SA,3,SA,amide,CC(=O)N(C[C@H]1CNC(=O)O1)c1ccon1,0.253012048192771,0.7761300086975098,A,HIGH,225.204,0.1358999999999995,84.67,3.703199238575383
CMPD_073,SA,3,SA,urea,CC(=O)NC[CH][C@H](CO)NC(=O)N(C[C@H]1CNC(=O)O1)c1ccon1,0.2592592592592592,0.7194608807563782,A,HIGH,354.3430000000001,-0.999709999999998,146.03000000000003,4.457332753700571
CMPD_023,SA,3,SA,amide,O=C1NC[C@H](CN(C(=O)NCCN(O)Cc2ccccc2)c2ccon2)O1,0.2463768115942029,0.6335617899894714,A,HIGH,375.3850000000001,1.1904,120.17,3.6132248907455455
CMPD_487,SA,4,SA_CA,amide,O=C(CS)NCCCC(=O)N(CCCNCCCCCCCCCCNCCCNCCCc1ccccc1)CCCc1ccccc1,0.6382978723404256,0.9437195539474488,A,HIGH,682.0760000000005,6.576600000000006,85.5,2.8439303581780635
CMPD_013,SA,4,SA,amide,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](N(C)C(C)=O)CO3)c2n1,0.6338028169014085,0.7821714758872986,A,HIGH,379.38800000000015,0.9006999999999998,94.01,3.745163186603534
CMPD_483,SA,4,SA_CA,amide,O=C(CS)NCCCC(=O)N(CCCNCCCCCCNCCCNCCCc1ccccc1)CCCc1ccccc1,0.6382978723404256,0.6480112433433532,A,HIGH,625.9680000000003,5.016200000000006,85.5,2.760410919501848
CMPD_032,SA,4,SA,amide,COc1ccc2nccc(CC[C@H]3OC[C@H](N(C)C(=O)NCCN(O)Cc4ccccc4)CO3)c2c1,0.6025641025641025,0.6408864796161652,A,HIGH,494.5920000000002,3.4503000000000013,96.39,3.050147789936675
