rank,fragment_id,fragment_smiles,pathogen_count,total_compounds,total_tp,total_tn,overall_avg_attribution,overall_max_attribution,avg_activity_rate_percent,SA_compounds,SA_tp,SA_tn,SA_avg_attr,SA_activity_pct,EC_compounds,EC_tp,EC_tn,EC_avg_attr,EC_activity_pct,CA_compounds,CA_tp,CA_tn,CA_avg_attr,CA_activity_pct,SA_example_id,SA_example_smiles,SA_example_target,SA_example_attr,SA_example_pred,SA_example_mw,EC_example_id,EC_example_smiles,EC_example_target,EC_example_attr,EC_example_pred,EC_example_mw,CA_example_id,CA_example_smiles,CA_example_target,CA_example_attr,CA_example_pred,CA_example_mw
156,22624,C-C-C(C)-N,3,96,94,2,0.326,0.3808,98.26,41,40,1,0.307,97.56,36,35,1,0.306,97.22,19,19,0,0.365,100.0,CS000379753,Cc1ccc2c(n1)C(=O)C(Br)=C(c1ccc(C=O)cc1)C2=O,1,0.381,0.919,356.2,CHEMBL3617594,CCOC(=O)C1=CN(CC)C2=NC(C)=CC=C2C1=O,1,0.381,0.588,260.3,CS000250374,Cc1ccc2c(n1)C(=O)C(Br)=C(c1ccc(Cl)cc1)C2=O,1,0.381,0.983,362.6
157,2171,CNC=O,3,99,94,5,0.3081,0.3808,93.77,69,67,2,0.286,97.1,19,16,3,0.317,84.21,11,11,0,0.321,100.0,CHEMBL456253,CNC(=O)[C@H]1CN(C2=CC(F)=C(N3CCCOCC3)C(F)=C2)C(=O)O1,1,0.381,0.965,355.3,CHEMBL3967406,CC(=O)OC[C@H]1O[C@@H](NC(=S)N/N=C2/C(=O)N(C)C3=CC=CC=C23)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,1,0.381,0.923,564.6,CHEMBL4786936,CNC(=O)C1=NC=NN1[C@@H]1C[C@@]23COC[C@@](C)([C@@H]2CC[C@H]2C3=CC[C@@]3(C)[C@H](C(=O)O)[C@@](C)([C@H](C)C(C)C)CC[C@]23C)[C@H]1OC[C@](C)(N)C(C)C,1,0.381,0.997,696.0
158,4153,CC1=CC(C)=CC=C1,3,102,92,10,0.3039,0.3808,90.07,43,40,3,0.265,93.02,39,34,5,0.3,87.18,20,18,2,0.347,90.0,CHEMBL3892615,CC1=CC(C)=CC(N2SC3=CC=CC=C3C2=O)=C1,1,0.381,0.947,255.3,CHEMBL516793,CC1=CC(C)=CC(C2=NN3C(C4=CC(Cl)=CC(Cl)=C4Cl)=NN=C3S2)=C1,1,0.381,0.951,409.7,CHEMBL4458734,CC1=CC=C2C(=C1)C=C(/C=C/C(=O)C1=CC=CC=N1)C1=NN=NN12,1,0.381,0.958,315.3
159,1152,C-C(C(F)(F)F)-N,3,91,91,0,0.3224,0.3779,100.0,46,46,0,0.319,100.0,42,42,0,0.31,100.0,3,3,0,0.338,100.0,CHEMBL605819,O=C(O)C1=NOC(COC2=CC(C(F)(F)F)=NC3=C(C(F)(F)F)C=CC=C23)=C1,1,0.365,0.881,406.2,CHEMBL2382232,O=C1C2=CC=CC=C2C(=O)N1CCCCOC1=CC(C(F)(F)F)=NC2=CC=C(F)C=C12,1,0.378,0.792,432.4,CHEMBL2382232,O=C1C2=CC=CC=C2C(=O)N1CCCCOC1=CC(C(F)(F)F)=NC2=CC=C(F)C=C12,1,0.344,0.892,432.4
160,12239,CC1=CC=C([N+](=O)[O-])C=C1,3,97,90,7,0.3048,0.3808,92.63,32,31,1,0.313,96.88,27,24,3,0.32,88.89,38,35,3,0.281,92.11,CHEMBL4646020,O=C(NCC1=CN(CC2=CC=C([N+](=O)[O-])C=C2)N=N1)C1=CC=CN=C1,1,0.381,0.97,338.3,CHEMBL5092827,O=C(/C(=C/C1=CC=C([N+](=O)[O-])C=C1)N1C=NC2=CC(Cl)=CC=C2C1=O)C1=NC=CS1,1,0.381,0.952,438.9,CHEMBL233527,O=[N+]([O-])C1=CC=C(CC2=NC3=CC=CC=C3O2)C=C1,1,0.381,0.989,254.2
161,10884,C=N,3,101,90,11,0.3048,0.3808,90.99,49,48,1,0.303,97.96,40,30,10,0.294,75.0,12,12,0,0.317,100.0,CHEMBL4644712,COC1=CC2=C(C=C1OCCCC(=O)NC1=CN(C)C(C(=O)NC3=CC=C(C4=CN(C)C(C(=O)N(C)C)=C4)C=C3)=C1)N=C[C@@H]1CCCN1C2=O,1,0.381,0.991,679.8,CHEMBL2203788,COC1=CC=C(C2SC3=CC(OC)=CC=C3N=C3C4=CC=CC=C4C(C4=CC=CC=C4)C32)C=C1,1,0.361,0.98,463.6,CHEMBL2203778,C1=CC=C(C2SC3=CC=CC=C3N=C3C4=CC=CC=C4C(C4=CC=CC=C4)C32)C=C1,1,0.345,0.98,403.6
162,3722,CCOC(C)=O,3,95,89,6,0.2966,0.3808,92.8,49,47,2,0.257,95.92,21,19,2,0.33,90.48,25,23,2,0.303,92.0,CHEMBL521138,CCOC(=O)CN1C(=O)C=C(NC2=CC=C3CCCC3=C2)NC1=O,1,0.381,0.91,329.4,CHEMBL3827674,CCOC(=O)C1C(C(=O)C2=CC=CS2)C1C1=CC=C(OC)C=C1,1,0.381,0.648,330.4,CS000042140,CCOC(=O)C[C@]1(C(F)(F)F)N[C@H](C2=CC=CC=C2)CO1,1,0.381,0.79,303.3
163,1740,CC(C)C1=CC=CC=C1,3,91,86,5,0.3026,0.3808,93.1,47,47,0,0.249,100.0,27,23,4,0.326,85.19,17,16,1,0.332,94.12,CHEMBL1165566,CC(C)C1=CC=C(C2=NOC(COC3=CC=C(Cl)C=C3C(=O)C3=CC=CC=C3)=N2)C=C1,1,0.346,0.829,432.9,CHEMBL4075870,CC(C)C1=CC=CC=C1C1CC(C2=CC=C(O)C=C2)=NN1C(=O)C1=CC=CN=C1,1,0.381,0.929,385.5,CHEMBL3099273,COC(=O)[C@]1(C)CCC[C@]2(C)C3=CC=C(C(C)C)C=C3C3=C(C4=CC=CC=C4N3CCNC3=CC=C([N+](=O)[O-])C=C3)[C@@H]12,1,0.359,0.819,565.7
164,6367,C-C-C-CCl,3,107,86,21,0.2963,0.3808,73.32,55,51,4,0.293,92.73,35,26,9,0.318,74.29,17,9,8,0.277,52.94,CHEMBL1802218,CC1=CC=CC=C1NC(=S)N/N=C/C1=CC2=CC=CC(Cl)=C2N=C1Cl,1,0.381,0.758,389.3,CHEMBL5275272,O=C1NC2=CC(Br)=CC=C2/C1=C1/NC2=C(Cl)C=CC=C2/C1=N\O,1,0.381,0.893,390.6,CHEMBL4204704,ClC1=CC=CC2=CC3=C(N=C12)C1=NC2=CC=CC=C2N1C3,1,0.381,0.809,291.7
165,1701,CN(C)C1=CC=CC=C1,3,108,86,22,0.2899,0.3808,76.29,52,45,7,0.268,86.54,31,28,3,0.332,90.32,25,13,12,0.27,52.0,CHEMBL4103935,CCC1=C(C2=CC=C(N(C)C)C=C2)NC(=O)C(C(=O)O)=C1O,1,0.381,0.733,302.3,CHEMBL1222784,CN(C)C1=CC=C(C2C(C#N)=C(N)OC(C3=CNC4=CC=CC=C34)=C2C#N)C=C1,1,0.381,0.975,381.4,CS000064400,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)CCN=[N+]=[N-])cc2)cc1,1,0.381,0.837,427.6
166,3369,CCCCN,3,90,86,4,0.2831,0.3808,90.1,64,61,3,0.29,95.31,22,22,0,0.246,100.0,4,3,1,0.313,75.0,CHEMBL4068557,CCCCNC1=C(OC)C=CC2=C(CC3=CC=C(F)C=C3)C3=[N+](C=C12)CCC1=CC2=C(C=C13)OCO2,1,0.381,0.963,485.6,CHEMBL3823454,CCCCNC1=CC(=O)C(C(C)(C)C)=CC1=O,1,0.381,0.652,235.3,CHEMBL556572,CCCCNC1CCC2=CC(OC)=CC=C2C1,1,0.381,0.654,233.4
167,8293,N=C(N)N,3,88,86,2,0.2721,0.3808,96.73,47,47,0,0.231,100.0,19,18,1,0.312,94.74,22,21,1,0.273,95.45,CHEMBL5286825,CC1=NN(C2=CC=C(Cl)C=C2Cl)C(OC2=CC=C3C=CC=CC3=C2)=C1C1N=C(N)NC(NCCC2=CC=CC=C2)=N1,1,0.381,0.994,584.5,CHEMBL4461798,NC1=NC(C2=CN(C3=CC=CC=C3)N=C2C2=CC=CC(Cl)=C2)N=C(N2CCOCC2)N1,1,0.381,0.953,435.9,CHEMBL4576138,NC1=NC(C2=CN(C3=CC=CC=C3)N=C2C2=CC=C(Cl)C=C2)N=C(N2CCOCC2)N1,1,0.379,0.985,435.9
