rank,fragment_id,fragment_smiles,pathogen_count,total_compounds,total_tp,total_tn,overall_avg_attribution,overall_max_attribution,avg_activity_rate_percent,SA_compounds,SA_tp,SA_tn,SA_avg_attr,SA_activity_pct,EC_compounds,EC_tp,EC_tn,EC_avg_attr,EC_activity_pct,CA_compounds,CA_tp,CA_tn,CA_avg_attr,CA_activity_pct,SA_example_id,SA_example_smiles,SA_example_target,SA_example_attr,SA_example_pred,SA_example_mw,EC_example_id,EC_example_smiles,EC_example_target,EC_example_attr,EC_example_pred,EC_example_mw,CA_example_id,CA_example_smiles,CA_example_target,CA_example_attr,CA_example_pred,CA_example_mw
275,9677,C1=NC(C2=CN(C3=CC=CC=C3)N=C2)N=CN1,3,85,85,0,0.7133,0.7616,100.0,34,34,0,0.709,100.0,26,26,0,0.683,100.0,25,25,0,0.748,100.0,CHEMBL4440061,CN(C)C1=NC(C2=CN(C3=CC=CC=C3)N=C2C2=CC=CC(Cl)=C2)N=C(N)N1,1,0.762,0.986,393.9,CHEMBL4440061,CN(C)C1=NC(C2=CN(C3=CC=CC=C3)N=C2C2=CC=CC(Cl)=C2)N=C(N)N1,1,0.745,0.979,393.9,CHEMBL4438008,CC1=CC=C(C2=NN(C3=CC=C([N+](=O)[O-])C=C3[N+](=O)[O-])C=C2C2N=C(N)NC(N(C)C)=N2)C=C1,1,0.762,0.993,463.5
276,25770,C1=CC=C(N2CC=CS2)C=C1,3,88,85,3,0.7003,0.7616,95.65,45,45,0,0.728,100.0,23,20,3,0.688,86.96,20,20,0,0.685,100.0,CHEMBL98386,O=C1C2=CC=CC=C2SN1C1=CC=C(Cl)C=C1,1,0.762,0.975,261.7,CHEMBL579179,O=C1C=CSN1C1=CC=C(F)C=C1,1,0.762,0.98,195.2,CHEMBL4079667,NC1=CC=CC=C1N1SC2=CC=CC=C2C1=O,1,0.761,0.837,242.3
277,9672,C1=NC(C2=CNN=C2)N=CN1,3,85,85,0,0.6991,0.7616,100.0,34,34,0,0.604,100.0,26,26,0,0.747,100.0,25,25,0,0.746,100.0,CHEMBL4557741,CN(C)C1=NC(C2=CN(C3=CC=CC=C3)N=C2C2=CC=CC=C2)N=C(N)N1,1,0.762,0.962,359.4,CHEMBL4438008,CC1=CC=C(C2=NN(C3=CC=C([N+](=O)[O-])C=C3[N+](=O)[O-])C=C2C2N=C(N)NC(N(C)C)=N2)C=C1,1,0.762,0.982,463.5,CHEMBL4440061,CN(C)C1=NC(C2=CN(C3=CC=CC=C3)N=C2C2=CC=CC(Cl)=C2)N=C(N)N1,1,0.762,0.989,393.9
278,7852,C1=CC2=C(C=C1)OC=CC2,3,94,85,9,0.568,0.7616,88.44,58,54,4,0.603,93.1,18,14,4,0.591,77.78,18,17,1,0.51,94.44,CHEMBL180667,CCCC(=O)OC1=CC2=C(C(O)=C1OC)C(=O)C=C(C1=CC=CC=C1)O2,1,0.762,0.794,354.4,CHEMBL2046469,COC(=O)CC1=CC(O)=CC2=C1C(=O)C=C(C1=CC=C([N+](=O)[O-])C=C1)O2,1,0.762,0.679,355.3,CS000346073,CS(=O)(=O)NC1=CC=C(C2=CC3=C(C=C2F)C(=O)C(C=O)=CO3)C=C1,1,0.762,0.728,361.4
279,2326,C1=CC=C(C=C1)NCCCN1C=CN=C1,3,85,85,0,0.4974,0.7562,100.0,35,35,0,0.549,100.0,31,31,0,0.546,100.0,19,19,0,0.397,100.0,CS000196610,OC(Cn1c(-c2ccccc2)nc2ccccc21)Cn1c2ccccc2c2ccccc21,1,0.756,0.87,417.5,CHEMBL3334858,CCOC(=O)C1=CN(CC(O)CN2C=NC([N+](=O)[O-])=C2)C2=CC=C(F)C=C2C1=O,1,0.634,0.933,404.4,CHEMBL3334504,O=C(O)C1=CN(CC(O)CN2C=NC([N+](=O)[O-])=C2)C2=C(F)C=C(F)C=C2C1=O,1,0.552,0.837,394.3
280,4446,C(OC1=NC=NC(NC2=CC=CC=C2)=N1)C1=CC=CC=C1,3,89,84,5,0.6577,0.7616,91.23,37,37,0,0.686,100.0,33,33,0,0.641,100.0,19,14,5,0.646,73.68,CHEMBL2235898,N#CC1=CC=C(NC2=NC(OC3=NC=NC4=CC=CC=C34)=NC(N3CCN(C4=CC=CC=C4Cl)CC3)=N2)C=C1C(F)(F)F,1,0.762,0.89,604.0,CHEMBL2238372,CCOC(=O)CNC1=NC(NC2=CC=C(C#N)C=C2)=NC(OC2=CC(=O)N(C)C3=CC=CC=C23)=N1,1,0.758,0.864,471.5,CHEMBL2238377,CN1C(=O)C=C(OC2=NC(NCCCl)=NC(NC3=CC=C(C#N)C=C3)=N2)C2=CC=CC=C21,1,0.762,0.584,447.9
281,4848,C1CCOC2=CC=CC=C12,3,98,84,14,0.5243,0.7616,83.85,69,61,8,0.594,88.41,11,10,1,0.525,90.91,18,13,5,0.454,72.22,CHEMBL3357517,CC1(C)C2CC=C(C3CC(=O)C4=C(O)C=C(O)C=C4O3)C1C2,1,0.762,0.6,300.4,CHEMBL254613,COC1=CC(O)=C2C(=O)C[C@@H](C3=CC=CC=C3)OC2=C1,1,0.682,0.463,270.3,CHEMBL460437,CC(C)=CCC1=C(O)C=C2OC(C3=CC=C(O)C=C3O)CC(=O)C2=C1O,1,0.712,0.697,356.4
282,6571,C(=NC1=CC=CC=C1)C1=CC=CC=C1,3,85,84,1,0.5111,0.6785,98.81,28,28,0,0.427,100.0,29,29,0,0.623,100.0,28,27,1,0.483,96.43,CS000440272,Cn1ccc(=Nc2ccc(NC(=O)c3ccc(N=c4ccn(C)c5ccc([N+](=O)[O-])cc45)cc3)cc2)cc1,1,0.557,0.978,504.6,CHEMBL2203777,ClC1=CC=C(C2SC3=CC(Cl)=CC=C3N=C3C4=CC=CC=C4C(C4=CC=CC=C4)C32)C=C1,1,0.678,0.985,472.4,CHEMBL2203778,C1=CC=C(C2SC3=CC=CC=C3N=C3C4=CC=CC=C4C(C4=CC=CC=C4)C32)C=C1,1,0.612,0.98,403.6
283,6024,C1=CC=C(CC2=CNCNC2)C=C1,3,89,84,5,0.4672,0.7616,94.88,43,41,2,0.464,95.35,28,25,3,0.348,89.29,18,18,0,0.589,100.0,CHEMBL1241837,CCCCCCCCOC(C1=CC=C([N+](=O)[O-])C=C1)C1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,1,0.762,0.747,507.5,CHEMBL208707,N=C1C(CC2=CC=C(Cl)C(Cl)=C2)=CNC(=O)N1C1=CC=C(Cl)C=C1Cl,1,0.762,0.819,415.1,CHEMBL1928592,CCOC(=O)C1=C(N)SC2=C(C(=S)NC(=S)N2)C1C1=CC=C(Cl)C=C1,1,0.762,0.878,412.0
284,6221,C1=CC=C2ON=CC2=C1,3,85,84,1,0.4262,0.7484,99.05,28,28,0,0.33,100.0,35,34,1,0.621,97.14,22,22,0,0.327,100.0,CHEMBL241323,N#CC1=CC=C(NC(=O)C2=NOC3=CC=CC=C23)C(C(=O)O)=C1,1,0.582,0.925,307.3,CHEMBL551997,O=[N+]([O-])C1=CC=C(C2=CN3N=C(CC4=NOC5=CC=CC=C45)SC3=N2)C=C1,1,0.748,0.835,377.4,CHEMBL562939,NC1=NN=C(CC2=NOC3=CC=CC=C23)S1,1,0.689,0.937,232.3
